"Root","RelativePath","Extension","SizeBytes","SizeKB","LastWriteTime","Bom","LineCount","Package","FirstLine","SHA256"
"common","common/big.go",".go","1009","0.99","4/13/2026 2:33:29 PM","UTF-8 BOM","32","common","// Copyright 2026 The SILA Authors","720CCE9CF25C24003862C6C136956DC5AA2F1AA61638EFF16CF104F913E47A18"
"common","common/bitutil/bitutil.go",".go","2832","2.77","4/12/2026 5:09:10 PM","No BOM","148","bitutil","// Copyright (c) 2026 SilaChain","2702B3672F6A3860EDEB58ED265FE8EDDFF0FD3D03A0E96074D22A286D74E86A"
"common","common/bitutil/bitutil_test.go",".go","6042","5.9","4/13/2026 3:31:02 PM","UTF-8 BOM","233","bitutil","// Copyright 2013 The Go Authors. All rights reserved.","04F5CFEC53094FA30DBD464747679D53260F0D5C1C0BB7214F5081D532047116"
"common","common/bitutil/compress.go",".go","5563","5.43","4/13/2026 3:36:08 PM","UTF-8 BOM","170","bitutil","// Copyright 2026 The SILA Authors","F9A75828FB4D3355BD9F462857E897F60C79783AD342E13D0D4786106DF741F2"
"common","common/bitutil/compress_test.go",".go","8607","8.41","4/13/2026 3:38:55 PM","UTF-8 BOM","224","bitutil","// Copyright 2026 The SILA Authors","82FB371C767B26066B4E18E55E65C3C9F27B7E1E57035EB61D3F01FE1F872C94"
"common","common/bytes.go",".go","3558","3.47","4/13/2026 2:39:55 PM","UTF-8 BOM","151","common","// Copyright 2026 The SILA Authors","3C605A6DBB967FF50A154CE7B67A0F5773C4F01B6CF3F1D70F9757F99DB58440"
"common","common/bytes_test.go",".go","7255","7.08","4/13/2026 2:43:24 PM","UTF-8 BOM","347","common","// Copyright 2026 The SILA Authors","D93AB5720276733B19D3626B00A2228F8A706A27A3D4BE4AFED055F2DBBC0D77"
"common","common/calc.go",".go","1197","1.17","4/13/2026 2:57:00 PM","UTF-8 BOM","30","common","// Copyright 2026 The SILA Authors","88D27342A754401A6DFCFD7B49AD90C2B32350A9BBE94486774263E066854BD5"
"common","common/calc_test.go",".go","2165","2.11","4/13/2026 2:58:52 PM","UTF-8 BOM","81","common","// Copyright 2026 The SILA Authors","002F0C712FF82C8B178C1881C0FDAC472706EE97D64088A8E26CC6ED34340ACC"
"common","common/compiler/compiler.go",".go","4884","4.77","4/13/2026 3:43:49 PM","UTF-8 BOM","132","compiler","// Copyright 2026 The SILA Authors","6BCF1126504E9A5AC7605091294AD82850FE6D34CFBFCEF1EB6FB0084472B86A"
"common","common/compiler/helpers.go",".go","2054","2.01","4/13/2026 3:41:23 PM","UTF-8 BOM","45","compiler","// Copyright 2026 The SILA Authors","342355E1998FE6DA39997066EAA43D493783178FAC23C7B6CC457BBFE6476D31"
"common","common/debug.go",".go","1621","1.58","4/13/2026 2:46:54 PM","UTF-8 BOM","52","common","// Copyright 2026 The SILA Authors","7D696C1D81EAEBABD7851BEA7CC830151AD0A6C919535017CC5CC43F812B4896"
"common","common/fdlimit/fdlimit_bsd.go",".go","2179","2.13","4/13/2026 3:55:00 PM","UTF-8 BOM","68","fdlimit","// Copyright 2026 The SILA Authors","AC7468181CE94937FE92D21FD268C28BCC4281701FE05BEFFD3B66F8ACE1E908"
"common","common/fdlimit/fdlimit_darwin.go",".go","2380","2.32","4/13/2026 3:57:49 PM","UTF-8 BOM","71","fdlimit","// Copyright 2026 The SILA Authors","5FB1B895EE88D6682B516551303BE36179A0666E6270B6EF4C7EF0CB402693CB"
"common","common/fdlimit/fdlimit_test.go",".go","1536","1.5","4/13/2026 3:58:40 PM","UTF-8 BOM","44","fdlimit","// Copyright 2026 The SILA Authors","C0DF2B35E15F2D61027FB9957D0D8D3F9FD90FD84C4D298BE798490245278648"
"common","common/fdlimit/fdlimit_unix.go",".go","2196","2.14","4/13/2026 3:59:48 PM","UTF-8 BOM","66","fdlimit","// Copyright 2026 The SILA Authors","130C929DC1BC4850E86B8BB0162A79B75CB43C976B0D3DAE1868EC37E96554E2"
"common","common/fdlimit/fdlimit_windows.go",".go","1936","1.89","4/13/2026 4:00:44 PM","UTF-8 BOM","50","fdlimit","// Copyright 2026 The SILA Authors","07BE0B6E227FD5BFA212B2E122742259A4C6EE10806F8E49832D51BFC0AA67A7"
"common","common/format.go",".go","2465","2.41","4/13/2026 3:01:59 PM","UTF-8 BOM","82","common","// Copyright 2026 The SILA Authors","1629759F7F680B01CBBBE44C577F31290A92046878F884869C6BB4DAE016DB8C"
"common","common/hexutil/hexutil.go",".go","5778","5.64","4/13/2026 4:03:47 PM","UTF-8 BOM","240","hexutil","// Copyright 2026 The SILA Authors","D8D896B5BE3A78DE40D3971E17DEDD0948A3981309D39CDC9DC6348F39070F7A"
"common","common/hexutil/hexutil_test.go",".go","6580","6.43","4/13/2026 4:09:12 PM","UTF-8 BOM","241","hexutil","// Copyright 2026 The SILA Authors","5CCF056D4356C63947A12C3F5F411975A584FBE29003AC322760AD2A1A731587"
"common","common/hexutil/json.go",".go","11095","10.83","4/13/2026 2:15:59 PM","UTF-8 BOM","421","hexutil","// Copyright 2026 The SILA Authors","D163938433189DB882516B37F6164D0CDE361B09606FF57F02D77D8C0490BDDA"
